,UA,SU,SUBP,DAP,SA,QF,PS,HT,HF
821,ES_78,2,9,10.5,1,2,3,5.5,2.5
822,ES_78,2,10,15.9,3,3,3,6.5,4.5
823,ES_78,2,10,20.6,1,2,2,8.0,5.5
825,ES_80,1,5,21.2,3,3,1,4.0,1.5
826,ES_80,1,5,25.1,2,2,1,7.0,7.0
830,ES_82,1,2,10.6,2,2,3,5.5,3.5
831,ES_82,1,2,10.5,3,3,3,4.5,3.0
832,ES_82,1,3,10.6,2,2,3,5.5,1.7
833,ES_82,1,3,12.6,3,3,3,5.0,1.6
834,ES_82,1,4,11.4,2,3,3,5.0,1.8
835,ES_82,1,4,11.9,2,3,3,6.0,1.7
836,ES_82,1,5,11.8,2,2,2,8.5,2.0
837,ES_82,1,5,15.0,2,2,2,9.0,4.0
839,ES_82,1,5,14.0,1,2,2,8.0,1.8
840,ES_82,1,6,12.6,3,3,3,5.5,2.2
841,ES_82,1,7,13.1,1,2,2,8.5,5.0
843,ES_82,1,7,25.6,2,2,1,12.0,2.0
844,ES_82,1,8,17.5,2,2,3,6.0,2.0
845,ES_82,1,8,10.5,2,2,3,5.5,2.0
846,ES_82,1,10,12.5,1,2,2,7.5,2.5
847,ES_82,1,10,13.2,1,2,2,7.5,2.5
848,ES_82,1,10,10.7,1,2,2,7.0,3.5
849,ES_82,1,10,11.1,1,2,2,7.0,4.0
850,ES_82,2,1,13.6,1,2,2,6.0,4.0
852,ES_82,2,1,14.2,2,2,2,6.5,4.5
853,ES_82,2,1,10.3,2,3,2,6.0,4.5
854,ES_82,2,1,15.3,1,3,2,7.0,4.5
855,ES_82,2,1,18.2,1,3,2,7.0,3.0
856,ES_82,2,2,11.4,1,2,2,6.5,2.0
857,ES_82,2,2,11.2,1,2,2,7.0,3.0
858,ES_82,2,2,10.0,2,2,2,6.5,4.0
859,ES_82,2,2,11.3,2,2,2,6.5,3.5
860,ES_82,2,2,12.2,3,4,2,6.0,4.5
862,ES_82,2,3,15.5,1,2,2,7.5,1.8
863,ES_82,2,3,12.6,1,2,2,7.5,3.5
864,ES_82,2,4,14.1,2,3,2,7.0,2.5
865,ES_82,2,4,10.2,2,3,3,5.0,2.5
866,ES_82,2,6,10.7,2,2,2,7.0,3.5
867,ES_82,2,6,21.3,1,2,1,9.5,4.5
868,ES_82,2,7,11.3,2,2,2,6.0,4.0
869,ES_82,2,7,12.8,1,2,2,6.5,3.0
870,ES_82,2,7,16.1,1,2,2,7.6,2.5
871,ES_82,2,7,15.8,1,2,2,6.0,2.5
872,ES_82,2,8,14.0,1,3,1,8.0,3.0
873,ES_82,2,8,21.9,1,2,2,6.0,5.0
874,ES_82,2,8,12.4,1,2,2,6.0,1.5
875,ES_82,2,9,12.2,2,2,2,5.5,1.5
876,ES_82,2,9,10.9,1,2,1,8.0,2.0
877,ES_82,2,9,10.6,1,2,2,7.0,2.0
879,ES_82,2,10,11.7,1,2,2,7.0,3.5
881,ES_82,2,10,10.1,1,2,2,7.0,4.0
882,ES_83,1,2,13.7,1,2,1,6.5,4.0
883,ES_83,1,2,16.4,3,3,1,6.5,3.0
884,ES_83,1,2,14.2,2,2,1,5.5,3.0
885,ES_83,1,2,12.3,2,3,1,4.5,3.5
886,ES_83,1,3,18.9,2,2,1,6.0,2.0
887,ES_83,1,3,14.6,3,2,1,6.0,4.5
888,ES_83,1,4,12.9,2,3,1,6.0,5.0
889,ES_83,1,4,14.8,1,2,1,6.5,4.0
890,ES_83,1,4,14.3,1,2,1,6.5,3.5
891,ES_83,1,7,17.2,3,3,1,4.5,1.6
892,ES_83,1,8,13.3,2,2,1,4.5,1.5
894,ES_83,4,1,15.2,1,2,3,8.0,5.0
895,ES_83,4,1,10.3,3,1,3,8.5,6.0
899,ES_83,4,4,11.5,1,2,3,8.5,7.0
902,ES_83,4,4,14.8,1,2,2,12.0,9.0
906,ES_83,4,5,17.3,3,4,3,5.0,4.5
907,ES_83,4,5,10.8,2,2,3,7.0,5.0
908,ES_83,4,5,10.0,2,2,3,6.0,5.0
909,ES_83,4,6,18.0,2,2,3,6.0,5.0
910,ES_83,4,6,10.6,1,2,3,7.5,5.5
911,ES_83,4,6,14.5,1,2,3,8.0,3.0
913,ES_83,4,7,20.5,1,2,3,5.0,4.5
914,ES_83,4,7,10.4,1,3,3,2.0,2.0
915,ES_83,4,7,11.0,1,2,3,6.0,3.5
918,ES_83,4,9,11.2,3,4,3,4.0,2.0
920,ES_83,4,10,13.8,1,2,3,7.5,5.0
921,ES_84,1,1,12.8,2,1,3,7.0,5.5
924,ES_84,1,1,10.1,2,3,3,7.5,4.0
925,ES_84,1,1,12.5,1,1,3,8.0,6.0
926,ES_84,1,1,14.2,1,1,3,8.0,6.0
927,ES_84,1,1,11.1,1,1,3,8.0,6.0
928,ES_84,1,1,13.2,1,1,3,8.0,6.0
929,ES_84,1,1,12.1,1,1,3,8.5,6.5
930,ES_84,1,1,11.6,1,2,3,9.0,6.0
931,ES_84,1,2,17.1,1,2,3,8.5,4.5
932,ES_84,1,2,22.9,2,2,3,7.5,3.5
933,ES_84,1,2,11.4,1,2,3,7.5,4.0
935,ES_84,1,2,10.2,1,2,2,10.0,6.0
936,ES_84,1,2,18.7,1,2,1,15.0,8.0
937,ES_84,1,2,13.1,1,2,1,14.5,8.0
938,ES_84,1,2,10.6,1,3,2,11.0,9.5
939,ES_84,1,2,13.9,2,3,2,12.0,10.0
940,ES_84,1,2,15.0,1,1,2,11.5,10.0
941,ES_84,1,2,15.4,1,1,2,11.0,10.0
942,ES_84,1,2,14.4,1,2,2,11.5,9.0
943,ES_84,1,2,16.8,1,1,2,11.0,9.5
944,ES_84,1,2,10.7,1,2,2,11.5,10.0
945,ES_84,1,3,10.3,2,3,3,8.5,6.0
947,ES_84,1,3,14.8,1,2,2,10.0,6.5
948,ES_84,1,3,17.0,2,2,3,9.0,4.0
949,ES_84,1,3,10.1,1,3,3,8.5,5.5
950,ES_84,1,3,10.0,1,3,3,8.0,4.0
951,ES_84,1,3,11.1,1,3,3,8.5,6.0
952,ES_84,1,3,13.7,1,2,1,14.0,12.0
953,ES_84,1,3,13.6,2,2,3,8.5,4.5
954,ES_84,1,3,12.3,1,2,3,8.0,5.0
955,ES_84,1,3,12.5,2,3,2,10.5,4.0
956,ES_84,1,3,12.0,2,3,2,11.5,10.0
957,ES_84,1,4,12.2,1,2,3,8.0,2.5
958,ES_84,1,4,13.8,2,3,2,10.5,7.5
959,ES_84,1,4,14.1,3,3,3,8.5,5.0
961,ES_84,1,4,19.5,2,3,2,10.5,4.0
962,ES_84,1,4,14.2,2,3,2,10.5,5.0
963,ES_84,1,4,10.5,1,1,3,7.5,6.0
964,ES_84,1,4,10.8,1,1,3,8.5,7.0
965,ES_84,1,4,14.1,1,1,2,10.0,8.0
966,ES_84,1,4,10.4,2,2,3,7.0,4.5
967,ES_84,1,4,11.1,2,2,3,7.3,2.5
968,ES_84,1,4,10.2,1,1,3,6.5,1.6
969,ES_84,1,4,13.0,1,2,2,12.5,4.0
971,ES_84,1,5,12.4,2,2,3,8.5,4.0
972,ES_84,1,5,10.3,1,1,3,7.5,5.5
973,ES_84,1,5,14.5,1,3,2,13.5,8.0
974,ES_84,1,5,24.6,1,2,1,14.5,6.5
975,ES_84,1,5,16.3,1,2,2,13.5,8.5
976,ES_84,1,5,21.3,1,1,1,16.5,4.0
977,ES_84,1,5,15.2,1,2,1,14.5,7.5
978,ES_84,1,5,12.4,1,1,3,9.0,6.5
979,ES_84,1,6,18.9,1,1,2,12.5,5.0
980,ES_84,1,6,16.2,2,3,2,10.5,3.0
982,ES_84,1,7,16.7,1,2,2,12.5,7.5
983,ES_84,1,7,17.4,2,2,3,8.5,3.5
985,ES_84,1,7,13.9,1,2,2,11.0,7.0
986,ES_84,1,7,10.8,1,2,2,10.5,7.0
987,ES_84,1,7,13.2,1,1,2,12.0,8.5
988,ES_84,1,7,17.5,1,2,3,8.5,3.0
989,ES_84,1,7,24.9,1,2,1,19.0,12.0
990,ES_84,1,7,12.1,1,2,2,12.5,9.0
992,ES_84,1,7,11.2,2,2,3,7.5,4.0
994,ES_84,1,8,14.1,1,2,2,12.5,3.5
995,ES_84,1,8,14.9,1,2,3,9.5,3.0
996,ES_84,1,8,11.5,1,2,2,10.0,4.0
997,ES_84,1,8,15.0,2,2,2,10.5,4.5
998,ES_84,1,8,14.0,1,2,2,11.0,6.0
999,ES_84,1,8,13.4,2,2,2,11.5,7.5
1000,ES_84,1,8,13.1,1,1,2,11.5,8.0
1001,ES_84,1,8,13.1,1,1,2,10.5,7.5
1003,ES_84,1,8,12.2,1,1,3,9.0,6.0
1004,ES_84,1,9,10.1,2,2,3,6.0,3.0
1005,ES_84,1,9,12.0,3,4,3,6.5,5.0
1006,ES_84,1,9,12.0,2,2,3,8.0,5.0
1007,ES_84,1,9,11.8,1,2,3,8.5,6.5
1008,ES_84,1,9,10.0,2,2,3,7.5,3.0
1009,ES_84,1,9,12.9,1,2,1,18.0,12.0
1010,ES_84,1,9,10.6,1,2,2,10.0,6.0
1011,ES_84,1,9,24.9,2,2,2,13.0,6.0
1012,ES_84,1,9,13.0,1,1,3,8.0,6.0
1013,ES_84,1,10,19.3,1,2,1,17.5,10.0
1014,ES_84,1,10,10.9,1,2,3,8.5,6.0
1015,ES_84,1,10,11.8,1,2,2,12.0,8.0
1016,ES_84,1,10,22.2,1,2,1,14.5,10.0
1017,ES_84,1,10,16.8,1,3,1,14.5,10.0
1018,ES_84,1,10,10.8,1,3,3,7.5,5.0
1019,ES_84,2,2,12.5,1,2,3,5.6,3.0
1021,ES_84,2,3,13.1,2,3,3,6.5,1.5
1022,ES_84,2,3,11.7,2,3,3,6.5,1.8
1023,ES_84,2,3,14.8,2,2,2,9.5,6.5
1024,ES_84,2,3,11.1,2,2,3,8.0,5.5
1025,ES_84,2,4,14.3,1,2,2,10.5,6.5
1026,ES_84,2,4,11.7,1,2,2,11.0,5.0
1027,ES_84,2,4,10.3,1,3,2,9.5,4.0
1028,ES_84,2,4,15.9,1,2,2,10.0,4.5
1029,ES_84,2,5,16.0,1,2,2,12.5,6.5
1030,ES_84,2,6,16.5,2,2,2,10.5,6.0
1031,ES_84,2,7,10.3,2,2,2,9.0,3.5
1032,ES_84,2,7,17.6,2,2,2,11.5,4.0
1033,ES_84,2,7,22.5,1,2,1,14.0,4.0
1034,ES_84,2,7,15.0,1,3,1,13.5,8.5
1035,ES_84,2,7,11.9,2,3,3,8.0,5.5
1036,ES_84,2,7,10.1,2,3,2,10.5,8.5
1037,ES_84,2,7,10.9,3,3,2,10.5,8.0
1038,ES_84,2,7,12.2,1,2,2,10.0,4.0
1039,ES_84,2,7,10.6,1,1,3,7.5,5.0
1040,ES_87,3,2,11.2,1,2,2,7.0,3.5
1041,ES_87,3,2,14.5,1,3,2,6.0,3.0
1042,ES_87,3,2,12.6,2,3,2,6.2,3.0
1043,ES_87,3,2,12.4,2,3,2,6.3,3.2
1044,ES_87,3,3,12.9,1,3,2,4.8,1.8
1045,ES_87,3,3,13.3,1,3,2,5.2,2.0
1046,ES_87,3,3,14.5,1,3,2,5.5,3.5
1047,ES_87,3,3,20.0,1,3,2,5.5,3.0
1048,ES_87,3,3,13.2,1,3,2,6.5,2.0
1049,ES_87,3,3,17.3,2,3,2,7.0,4.0
1051,ES_87,3,4,20.8,3,3,2,8.5,2.5
1052,ES_87,3,6,11.6,1,3,2,6.0,3.0
1053,ES_87,3,6,10.9,3,3,2,5.0,1.3
1054,ES_87,3,6,15.9,2,2,2,6.5,4.0
1057,ES_87,3,8,16.8,1,2,2,12.0,10.0
1058,ES_87,3,8,13.3,1,3,2,8.0,5.0
1059,ES_87,3,9,13.9,1,2,2,7.5,5.0
1060,ES_87,3,9,12.1,1,2,2,7.0,4.5
1061,ES_87,3,9,11.5,1,3,2,5.5,2.5
1062,ES_87,3,9,12.0,1,3,2,5.5,3.0
1063,ES_87,3,9,11.9,1,2,2,6.0,4.0
1064,ES_87,3,10,13.5,1,2,3,4.0,2.5
1065,ES_87,3,10,10.0,3,3,3,4.0,1.5
1066,ES_91,3,1,16.8,2,3,2,10.5,5.0
1074,ES_91,3,4,25.0,1,2,1,15.0,7.0
1078,ES_91,3,6,21.5,3,3,3,4.0,2.0
1079,ES_91,3,7,23.0,1,1,3,8.5,3.0
1080,ES_91,3,9,11.8,1,2,3,7.0,2.0
1081,ES_91,3,9,17.6,1,2,2,9.0,7.0
1084,ES_91,3,9,12.5,1,1,2,10.0,7.0
1086,ES_91,3,9,14.0,1,1,1,14.5,10.0
1087,ES_91,3,9,10.4,1,1,2,10.5,9.0
1089,ES_91,3,10,14.0,1,1,2,9.0,6.5
1090,ES_92,1,1,22.7,2,2,1,10.7,3.0
1091,ES_92,1,1,15.1,2,2,2,9.5,5.0
1092,ES_92,1,6,24.9,2,1,1,10.5,5.0
1093,ES_92,1,8,18.3,1,2,3,6.5,3.0
1094,ES_92,3,1,13.5,1,2,2,11.3,6.0
1095,ES_92,3,2,12.7,1,2,2,11.3,8.0
1096,ES_92,3,3,19.6,2,2,2,11.5,4.0
1097,ES_92,3,4,24.1,1,1,1,14.0,7.0
1098,ES_92,3,6,21.4,1,2,2,10.0,4.0
1099,ES_92,3,6,10.2,1,2,2,9.0,4.0
1100,ES_92,3,6,12.5,3,4,3,6.5,3.0
1101,ES_92,3,6,14.2,2,3,2,10.0,5.0
1102,ES_92,3,7,13.9,1,2,2,9.0,3.5
1103,ES_92,3,7,22.7,1,3,2,9.0,1.7
1104,ES_92,3,7,16.1,2,2,2,9.0,7.0
1105,ES_92,3,7,15.1,1,3,3,7.0,2.5
1106,ES_92,3,7,13.8,1,3,3,7.0,2.0
1109,ES_92,3,8,13.0,1,2,2,9.0,7.5
1110,ES_92,3,9,17.3,1,2,2,10.0,7.0
1111,ES_92,3,9,19.5,1,3,1,12.0,4.5
1112,ES_92,3,9,22.0,1,3,1,14.0,4.0
1113,ES_92,3,10,13.4,2,2,2,8.0,4.0
1114,ES_92,4,1,19.1,1,1,1,14.5,4.5
1115,ES_92,4,1,22.0,3,2,1,14.5,4.5
1116,ES_92,4,1,17.2,1,2,1,14.5,5.0
1117,ES_92,4,1,12.8,1,2,2,12.0,4.5
1118,ES_92,4,2,11.3,1,2,2,12.0,4.0
1119,ES_92,4,2,17.4,3,4,3,5.0,4.0
1120,ES_92,4,2,20.4,1,2,1,14.7,6.5
1121,ES_92,4,2,20.7,1,2,1,14.5,6.0
1122,ES_92,4,2,21.2,1,2,2,12.5,5.0
1123,ES_92,4,2,17.0,1,2,2,10.5,3.0
1124,ES_92,4,2,22.1,1,2,2,9.0,4.0
1125,ES_92,4,3,11.2,1,2,2,10.0,4.0
1126,ES_92,4,3,13.6,1,2,2,9.5,4.0
1127,ES_92,4,3,18.7,1,2,2,11.5,4.0
1128,ES_92,4,3,21.2,1,1,2,9.0,2.0
1129,ES_92,4,3,10.5,1,3,3,8.5,6.0
1130,ES_92,4,4,14.7,2,2,3,8.5,3.0
1131,ES_92,4,4,12.5,2,2,2,9.0,3.5
1132,ES_92,4,4,13.5,3,2,2,6.0,4.0
1133,ES_92,4,4,11.9,1,2,2,9.5,3.0
1134,ES_92,4,5,19.9,1,2,2,12.0,8.0
1136,ES_92,4,6,10.2,3,3,3,5.5,4.0
1137,ES_92,4,6,14.4,3,3,2,9.0,5.0
1138,ES_92,4,6,12.8,2,2,2,10.5,3.0
1139,ES_92,4,6,11.7,2,3,3,5.0,3.0
1140,ES_92,4,6,16.7,2,2,2,10.0,7.0
1141,ES_92,4,6,14.5,2,2,2,7.5,6.0
1142,ES_92,4,6,13.1,2,2,2,13.0,4.5
1143,ES_92,4,7,22.5,1,1,2,12.5,4.0
1144,ES_92,4,7,16.2,1,2,2,11.0,4.5
1145,ES_92,4,7,13.3,2,2,3,6.0,5.0
1146,ES_92,4,8,12.9,1,2,2,11.0,6.5
1147,ES_92,4,9,10.9,2,2,3,6.0,5.0
1148,ES_92,4,9,17.9,1,1,2,13.5,9.0
1149,ES_92,4,10,20.7,1,1,2,12.0,6.5
1150,ES_92,4,10,11.8,2,3,3,7.5,5.5
1151,ES_92,4,10,14.6,1,1,2,9.0,5.0
1152,ES_92,4,10,23.2,2,3,1,14.0,4.5
1153,ES_92,4,10,16.8,1,1,2,12.5,7.5
1154,ES_92,4,10,25.2,1,2,2,11.5,6.0
1155,ES_93,2,1,22.5,1,3,1,13.2,8.6
1156,ES_93,2,1,14.0,1,2,2,7.5,3.0
1157,ES_93,2,2,13.1,1,2,2,6.9,3.5
1158,ES_93,2,2,11.5,1,2,2,8.5,4.0
1159,ES_93,2,2,14.6,1,2,2,8.5,4.0
1161,ES_93,2,2,11.1,1,2,2,7.5,5.0
1162,ES_93,2,3,11.6,1,2,2,7.0,4.0
1163,ES_93,2,3,11.4,1,2,2,9.5,5.0
1164,ES_93,2,3,11.0,1,2,2,7.5,4.5
1165,ES_93,2,3,10.7,1,2,2,8.0,5.0
1166,ES_93,2,6,13.4,2,3,2,8.0,4.0
1167,ES_94,3,1,10.3,1,3,3,10.0,8.0
1168,ES_94,3,1,11.8,1,2,3,8.5,6.0
1169,ES_94,3,1,14.2,1,2,1,12.5,8.0
1170,ES_94,3,1,11.0,1,2,3,8.5,6.0
1171,ES_94,3,1,10.9,1,3,3,9.0,6.0
1172,ES_94,3,1,13.0,1,3,2,12.0,8.5
1173,ES_94,3,1,11.8,1,2,2,12.0,8.0
1174,ES_94,3,1,12.8,1,2,1,11.2,7.0
1175,ES_94,3,1,16.8,1,2,1,12.5,8.0
1176,ES_94,3,1,12.3,1,2,1,13.0,8.0
1177,ES_94,3,1,11.7,1,2,3,8.0,6.5
1178,ES_94,3,2,10.8,1,2,2,10.5,8.0
1179,ES_94,3,2,12.5,1,2,2,10.5,8.0
1180,ES_94,3,2,11.8,1,3,2,12.0,10.0
1181,ES_94,3,2,13.3,2,2,2,12.0,8.0
1182,ES_94,3,2,10.6,1,2,3,6.0,4.5
1183,ES_94,3,3,10.6,2,3,3,8.5,7.0
1184,ES_94,3,3,10.6,2,2,3,5.6,3.5
1185,ES_94,3,3,11.0,1,2,3,8.0,6.0
1186,ES_94,3,3,26.0,1,2,1,16.5,10.0
1187,ES_94,3,3,13.9,1,2,3,10.0,6.0
1188,ES_94,3,3,14.7,1,2,3,10.0,6.0
1190,ES_94,3,3,18.4,1,2,1,13.5,11.0
1192,ES_94,3,3,21.4,1,3,1,15.0,10.0
1193,ES_94,3,4,19.0,2,2,3,9.5,7.0
1194,ES_94,3,4,13.7,1,2,3,9.5,6.0
1195,ES_94,3,4,11.2,2,2,3,6.5,4.5
1196,ES_94,3,4,14.2,1,2,3,7.5,5.0
1198,ES_94,3,4,17.3,2,2,3,9.5,6.0
1201,ES_94,3,5,18.7,2,2,1,13.0,10.0
1202,ES_94,3,5,14.5,1,2,3,8.5,5.5
1203,ES_94,3,5,15.4,1,2,3,9.0,8.0
1205,ES_94,3,5,11.7,1,2,3,4.0,3.5
1207,ES_94,3,6,14.5,1,2,2,11.0,7.0
1208,ES_94,3,6,14.6,3,4,3,4.0,4.0
1209,ES_94,3,6,16.3,1,2,2,11.0,8.5
1210,ES_94,3,6,10.7,1,2,3,10.0,8.0
1211,ES_94,3,6,17.5,1,2,3,10.0,7.0
1213,ES_94,3,6,25.2,2,2,2,11.0,8.0
1214,ES_94,3,6,15.0,1,3,3,8.5,6.0
1215,ES_94,3,7,13.0,1,3,2,12.5,10.0
1216,ES_94,3,7,21.7,2,2,1,15.0,12.0
1217,ES_94,3,7,11.4,1,3,3,10.0,8.0
1218,ES_94,3,7,10.6,1,3,3,7.5,6.5
1220,ES_94,3,8,11.1,1,2,3,8.5,7.0
1221,ES_94,3,8,23.5,2,2,2,12.0,9.0
1222,ES_94,3,8,12.0,1,2,3,7.5,6.0
1223,ES_94,3,8,12.7,1,2,3,8.5,4.0
1224,ES_94,3,8,14.5,1,2,2,12.0,9.0
1225,ES_94,3,8,18.7,1,3,3,7.0,4.5
1226,ES_94,3,8,10.3,1,2,3,4.5,3.5
1227,ES_94,3,8,11.8,2,2,3,4.0,3.0
1229,ES_94,3,9,14.6,1,2,3,8.5,6.0
1230,ES_94,3,9,15.2,1,2,3,9.0,6.0
1231,ES_94,3,9,12.4,2,2,3,7.5,5.0
1232,ES_94,3,10,13.8,1,2,3,8.5,5.0
1234,ES_98,1,2,17.6,1,2,1,12.1,8.4
1235,ES_98,1,2,20.4,2,2,1,11.5,6.5
1236,ES_98,1,2,16.8,1,2,1,10.5,5.5
1237,ES_98,1,2,18.6,1,2,1,10.0,5.5
1238,ES_98,1,2,13.0,1,2,1,9.5,5.8
1239,ES_98,1,6,21.8,1,2,1,10.8,5.6
1240,ES_98,1,6,17.5,1,3,1,8.0,4.2
1241,ES_98,1,7,10.1,2,3,2,4.5,2.0
1242,ES_98,1,9,11.7,3,3,2,6.5,3.0
1243,ES_98,1,9,10.7,1,2,2,6.5,4.0
1244,ES_98,2,5,14.1,1,1,2,6.0,3.0
1245,ES_98,2,6,15.9,1,3,1,8.5,5.6
1246,ES_98,2,6,10.9,1,3,1,7.8,4.5
1247,ES_98,2,9,13.6,1,2,1,6.5,4.5
1248,ES_98,2,9,12.2,1,2,2,5.0,2.5
